Creature,CR,Category,Size,Type,Tag,SC,AL,Caster Level,Caster Type,AC,HP,#,d,adjustment,walk,burrow,climb,fly,swim,Str,Dex,Con,Int,Wis,Cha,MM,PHB,DMG,LMP,HDQ,ROT,POA,Basic,SRD,HDQ,ROT,DDEN1,DDEX1,POA,DDEN2,DDEX2,DDEN3,DDEX3
Efreeti,11,Monster,Large,Elemental,Genie,,LE,,,17,200,16,10,112,40,,,60,,22,12,24,16,15,16,145,,,,,,,,313,,12,,,16,,,,
Elemental Anchor,2,NPC,Medium,Humanoid,Air Genasi,,CE,,,14,33,6,8,6,30,,,,,15,16,12,11,14,13,,,,,,,,,,,,,,,,0.416666667,,
Elephant,4,Creature,Huge,Beast,,,U,,,12,76,8,12,24,40,,,,,22,9,17,3,11,6,322,,,,,,,18,366,,,,,,,,,
Elizar Dryflagon,5,NPC,Medium,Humanoid,Human,,NE,7,D,14,71,11,8,22,30,,,,,13,15,14,11,18,10,,,,,,,202,,,,,,,,,,,
Elk,0.25,Creature,Large,Beast,,,U,,,10,13,2,10,2,50,,,,,16,10,12,2,10,6,322,,,,,,,18,367,8,,,,,,,,
Empyrean,23,Monster,Huge,Celestial,Titan,,CG|NE,,,22,313,19,12,190,50,,,50,50,30,21,30,21,22,27,130,,,,,,,,,,,,,,,,,
Erinyes,12,Monster,Medium,Fiend,Devil,,LE,,,18,153,18,8,72,30,,,60,,18,16,18,14,14,18,73,,,,,,,,279,,,,,,,,,
Eternal Flame Guardian,2,NPC,Medium,Humanoid,Human,,CE,,,17,45,7,8,14,30,,,,,15,13,14,8,11,13,,,,,,,200,,,,,,,,,,,
Eternal Flame Priest,3,NPC,Medium,Humanoid,Human,,NE,5,S,12,52,8,8,16,30,,,,,12,15,14,10,11,16,,,,,,,200,,,,,,,,,8:18,,
Ettercap,2,Monster,Medium,Monstrosity,,,NE,,,13,44,8,8,8,30,,30,,,14,15,13,7,12,8,131,,,,,,,,311,9,13,,,,,,,
Ettin,4,Monster,Large,Giant,,,CE,,,12,85,10,10,30,40,,,,,21,8,17,6,10,8,132,,,,,,,,311,,13,,,17,,,,
Evil Mage,1,NPC,Medium,Humanoid,Human,,LE,4,W,12,22,5,8,,30,,,,,9,14,11,17,12,11,,,,57,,,,,,,,,,,,,,
Evil Mage,2,NPC,Medium,Humanoid,Human,,NE,4,W,12,22,5,8,,30,,,,,9,14,11,17,12,11,,,,,,,,,,,,,"3:31, 4:22",,,7:20,,
Evil Sorcerer,1,NPC,Medium,Humanoid,Half-Orc,,CE,4,S,12,22,5,8,,30,,,,,9,14,11,11,12,17,,,,,,,,,,,,,,,,,,2:27
Faerie Dragon (old),2,Monster,Tiny,Dragon,,,CG,,,15,14,4,4,4,10,,,60,,3,20,13,14,12,16,133,,,,,,,,,,,,,,,,,
Faerie Dragon (young),1,Monster,Tiny,Dragon,,,CG,,,15,14,4,4,4,10,,,60,,3,20,13,14,12,16,133,,,,,,,,,,,,,,,,,1:30
Farvnik the Venomous,5,NPC,Medium,Humanoid,Half-Elf,,LE,9,C,17,58,9,8,18,30,,,,,14,12,14,10,16,16,,,,,,,,,,,,,10:32,,,,,
Fathomer,2,NPC,Medium,Humanoid,Human,,NE,5,L,10,52,8,8,16,30,,,,,14,11,14,11,11,15,,,,,,,207,,,,,,,,52,"3:25, 8:19",,
Feathergale Knight,1,NPC,Medium,Humanoid,Human,,LE,1,S,16,33,6,8,6,30,,,,,14,14,12,11,10,14,,,,,,,189,,,,,,,,49,6:34,,
Female Steeder,1,Monster,Large,Beast,Spider,,U,,,14,30,4,10,8,30,,30,,,15,16,14,2,10,3,,,,,,,,,,,,,,,,,62,
Fire Elemental,5,Monster,Large,Elemental,,,N,,,13,102,12,10,36,50,,,,,10,17,16,6,10,7,125,,,,,,,18,309,,14,,,,,,,
Fire Elemental Myrmidon,7,Monster,Medium,Elemental,,,N,,,18,117,18,8,36,40,,,,,13,18,15,9,10,10,,,,,,,213,,,,,,,,,,,
Fire Giant,9,Monster,Huge,Giant,,,LE,,,18,162,13,12,78,30,,,,,25,9,23,10,14,13,154,,,,,,,19,315,,,,,,,,,"3:30, 4:42"
Fire Giant Whelp,7,Monster,Huge,Giant,,,N,,,17,126,11,12,55,40,,,,,23,9,20,10,12,9,,,,,,,,,,,,,,,,,,4:42
Fire Snake,1,Monster,Medium,Elemental,,,NE,,,14,22,5,8,,30,,,,,12,14,11,7,10,8,265,,,,,,,,,,,,,17,,"2:22, 5:25",,
Flameskull,4,Monster,Tiny,Undead,,,NE,5,W,13,40,9,4,18,0,,,40,,1,17,14,16,10,11,134,,,57,,,,19,,,,,,,,2:24,,
Flamewrath,6,NPC,Medium,Humanoid,Human,,CE,7,S,12,105,14,8,42,30,,,,,10,14,16,11,10,16,,,,,,,201,,,,,,,,,,,
Flesh Golem,5,Monster,Medium,Construct,Golem,,N,,,9,93,11,8,44,30,,,,,19,9,18,6,10,5,169,,,,,,,20,319,,,,10:33,,,"4:28, 13:33",,
Flumph,0.125,Monster,Small,Aberration,,,LG,,,12,7,2,6,,5,,,30,,6,15,10,14,14,11,135,,,,,,,,,,,,,,,8:20,,
Flying Snake,0.125,Creature,Tiny,Beast,,,U,,,14,5,2,4,,30,,,60,30,4,18,11,2,12,5,322,,,,,,,20,367,,,,,,,,,
Flying Sword,0.25,Monster,Small,Construct,,,U,,,17,17,5,6,,0,,,50,,12,15,11,1,5,1,20,,,,,,,20,267,,,,"9:26, 11:35",,,5:25,,
Fomorian,8,Monster,Huge,Giant,,,CE,,,14,149,13,12,65,30,,,,,23,10,20,9,14,6,136,,,,,,,,,,,,,,,,,
Frog,-,Creature,Tiny,Beast,,,U,,,11,1,1,4,-1,20,,,,20,1,13,8,1,8,3,322,305,,,,,,21,367,,,,,,,,,
Frost Giant,8,Monster,Huge,Giant,,,NE,,,15,138,12,12,60,40,,,,,23,9,21,9,10,12,155,,,,,,,21,315,,,,,,,9:53,,
Frulam Mondath,2,NPC,Medium,Humanoid,Human,,LE,5,C,16,44,8,8,8,30,,,,,14,10,13,11,18,15,,,,,90,,,,,,,37,,,,,,
Galeb Duhr,6,Monster,Medium,Elemental,,,N,,,16,85,9,8,45,15,,,,,20,14,20,11,12,11,139,,,,,,,,,,,,11:36,17,,,,
Gar Shatterkeel,9,NPC,Medium,Humanoid,Human,,NE,9,D,16,112,15,8,45,30,,,,30,15,15,16,12,18,13,,,,,,,208,,,,,,,,,,,
Gar Shatterkeel (in lair),13,NPC,Medium,Humanoid,Human,,NE,9,D,16,112,15,8,45,30,,,,30,15,15,16,12,18,13,,,,,,,208,,,,,,,,,,,
Gargoyle,2,Monster,Medium,Elemental,,,CE,,,15,52,7,8,21,30,,,60,,15,11,16,6,11,7,140,,,,,,,21,312,9,,,,,,4:29,,
Gas Spore,0.5,Monster,Large,Plant,,,U,,,5,1,1,10,-4,0,,,10,,5,1,3,1,1,1,138,,,,,,,,,,,,,,,,,
Gelatinous Cube,2,Monster,Large,Ooze,,,U,,,6,84,8,10,40,15,,,,,14,3,20,1,6,1,242,,,,,,,,340,,,,,,,,,
Ghald,7,Monster,Large,Humanoid,Sahuagin,,LE,,,15,102,12,10,36,30,,,,50,19,17,16,14,13,17,,,,,,,209,,,,,,,,,,,
Ghast,2,Monster,Medium,Undead,,,CE,,,13,36,8,8,,30,,,,,16,17,10,11,10,8,148,,,,,,,,314,,,,5:19,18,,,,
Ghost,4,Monster,Medium,Undead,,,Any,,,11,45,10,8,,0,,,40,,7,13,10,10,12,17,147,,,,,,,22,313,,14,,"11:37, 13:26",,,,,7:33
Ghoul,1,Monster,Medium,Undead,,,CE,,,12,22,5,8,,30,,,,,13,15,10,7,10,6,148,,,58,,,,22,315,,,,"2:24, 4:21, 5:19, 11:37",,,,,
Giant Ape,7,Creature,Huge,Beast,,,U,,,12,157,15,12,60,40,,40,,,23,14,18,7,12,7,323,,,,,,,22,368,,,,,,,,,
Giant Badger,0.25,Creature,Medium,Beast,,,U,,,10,13,2,8,4,30,10,,,,13,10,15,2,12,5,323,,,,,,,23,368,,,,,,,"1:25, 7:22, 11:21",,
Giant Bat,0.25,Creature,Large,Beast,,,U,,,13,22,4,10,,10,,,60,,15,16,11,2,12,6,323,,,,,,,23,368,,,,,,,,,
Giant Boar,2,Creature,Large,Beast,,,U,,,12,42,5,10,15,40,,,,,17,10,16,2,7,5,323,,,,,,,23,368,,,,,,,,,7:28
Giant Centipede,0.25,Creature,Small,Beast,,,U,,,13,4,1,6,1,30,,30,,,5,14,12,1,7,3,323,,,,,,,23,369,9,,,,,,,,
Giant Constrictor Snake,2,Creature,Huge,Beast,,,U,,,12,60,8,12,8,30,,,,30,19,14,12,1,10,3,324,,,,,,,24,369,,,,,,,,,
Giant Crab,0.125,Creature,Medium,Beast,,,U,,,15,13,3,8,,30,,,,30,13,15,11,1,9,3,324,,,,,,,24,369,,,,,,,12:19,,
Giant Crocodile,5,Creature,Huge,Beast,,,U,,,14,85,9,12,27,30,,,,50,21,9,17,2,10,7,324,,,,,,,24,369,,,,,,,,,
Giant Eagle,1,Creature,Large,Beast,,,NG,,,13,26,4,10,4,10,,,80,,16,17,13,8,14,10,324,306,,,,,,24,370,,,,,,,,,
Giant Elk,2,Creature,Huge,Beast,,,U,,,14,42,5,12,10,60,,,,,19,16,14,7,14,10,325,,,,,,,25,370,,,,,,,,,
Giant Fire Beetle,0,Creature,Small,Beast,,,U,,,13,4,1,6,1,30,,,,,8,10,12,1,7,3,325,,,,,,,25,370,,,,,,,,,
Giant Fly,-,Creature,Large,Beast,,,U,,,11,19,3,10,3,30,,,60,,14,13,13,2,10,3,,,169,,,,,,225,,,,,,,,,
Giant Frog,0.25,Creature,Medium,Beast,,,U,,,11,18,4,8,,30,,,,30,12,13,11,2,10,3,325,,,,,,,25,371,10,,,,,,1:32,,
Giant Goat,0.25,Creature,Large,Beast,,,U,,,11,19,3,10,3,40,,,,,17,11,12,3,12,6,326,,,,,,,25,371,,,,"7:21, 13:26",,,,,1:14
Giant Hyena,1,Creature,Large,Beast,,,U,,,12,45,6,10,12,50,,,,,16,14,14,2,12,7,326,,,,,,,26,371,,,,,,,,,
Giant Lizard,0.25,Creature,Large,Beast,,,U,,,12,19,3,10,3,30,,30,,,15,12,13,2,10,5,326,,,,,,,26,372,10,,,,,,,,
Giant Octopus,1,Creature,Large,Beast,,,U,,,11,52,8,10,8,10,,,,60,17,13,13,4,10,4,326,,,,,,,26,372,,15,,11:36,,,,,9:30
Giant Owl,0.25,Creature,Large,Beast,,,N,,,12,19,3,10,3,5,,,60,,13,15,12,8,13,10,327,,,,,,,26,372,,,,,,,,,
Giant Poisonous Snake,0.25,Creature,Medium,Beast,,,U,,,14,11,2,8,2,30,,,,30,10,18,13,2,10,3,327,,,,,,,27,373,,,,,,,,,
Giant Rat,0.125,Creature,Small,Beast,,,U,,,12,7,2,6,,30,,,,,7,15,11,2,10,4,327,,,,,,,27,373,,,,,,,,,6:18
Giant Scorpion,3,Creature,Large,Beast,,,U,,,15,52,7,10,14,40,,,,,15,13,15,1,9,3,327,,,,,,,27,373,,,,,,,,,
Giant Sea Horse,0.5,Creature,Large,Beast,,,U,,,13,16,3,10,,0,,,,40,12,15,11,2,12,5,328,,,,,,,27,373,,,,,,,,,
Giant Shark,5,Creature,Huge,Beast,,,U,,,13,126,11,12,55,0,,,,50,23,11,21,1,10,5,328,,,,,,,28,374,,,,,,,,,
Giant Spider,1,Creature,Large,Beast,Spider,,U,,,14,26,4,10,4,30,,30,,,14,16,12,2,11,4,328,306,,58,,,,28,374,10,,,,,,9:51,,
Giant Toad,1,Creature,Large,Beast,,,U,,,11,39,6,10,6,20,,,,40,15,13,13,2,10,3,329,,,,,,,28,375,,,,7:21,,,,,
Giant Vulture,1,Creature,Large,Beast,,,NE,,,10,22,3,10,6,10,,,60,,15,10,15,6,12,7,329,,,,,,,29,375,,,,,,,,,
Giant Wasp,0.5,Creature,Medium,Beast,,,U,,,12,13,3,8,,10,,,50,,10,14,10,1,10,3,329,,,,,,,29,375,,,,,,,7:21,,
Giant Weasel,0.125,Creature,Medium,Beast,,,U,,,13,9,2,8,,40,,,,,11,16,10,4,12,5,329,,,,,,,29,376,,,,9:26,,,,,
Giant Wolf Spider,0.25,Creature,Medium,Beast,Spider,,U,,,13,11,2,8,2,40,,40,,,12,16,13,3,12,4,330,,,,,,,29,376,,,,,,,,,
Gibbering Mouther,2,Monster,Medium,Aberration,,,N,,,9,67,9,8,27,10,,,,10,10,8,16,3,10,6,157,,,,,,,,317,,,,,,,,,
Githyanki Knight,8,Monster,Medium,Humanoid,Gith,,LE,,,18,91,14,8,28,30,,,,,16,14,15,14,14,15,160,,,,,,,,,,,,,,,,,
Githyanki Warrior,3,Monster,Medium,Humanoid,Gith,,LE,,,17,49,9,8,9,30,,,,,15,14,12,13,13,10,160,,,,,,,,,,,,,,,,,
Githzerai Monk,2,Monster,Medium,Humanoid,Gith,,LN,,,14,38,7,8,7,30,,,,,12,15,12,13,14,10,161,,,,,,,,,,,,,,,,,
Githzerai Zerth,6,Monster,Medium,Humanoid,Gith,,LN,,,17,84,13,8,26,30,,,,,13,18,15,16,17,12,161,,,,,,,,,,,,,,,,,
Glabrezu,9,Monster,Large,Fiend,Demon,,CE,,,17,157,15,10,75,40,,,,,20,15,21,19,17,16,58,,,,,,,,274,,,,,,,,,"4:42, 8:30"
Gladiator,5,NPC,Medium,Humanoid,Any,,Any,,,16,112,15,8,45,30,,,,,18,15,16,10,12,15,346,,,,,,,,394,,15,,11:38,,,,,
Gnoll,0.5,Monster,Medium,Humanoid,Gnoll,,CE,,,15,22,5,8,,30,,,,,14,12,11,6,10,7,163,,,,,,,30,317,,,,,,,,,
Gnoll Fang of Teenoghu,4,Monster,Medium,Humanoid,Gnoll,,CE,,,14,65,10,8,20,30,,,,,17,15,15,10,11,13,163,,,,,,,,,,,,,,,,,
Gnoll Pack Lord,2,Monster,Medium,Humanoid,Gnoll,,CE,,,15,49,9,8,9,30,,,,,16,14,13,8,11,9,163,,,,,,,,,,,,,18,,,,
Goat,0,Creature,Medium,Beast,,,U,,,10,4,1,8,,40,,,,,12,10,11,2,10,5,330,,,,,,,30,376,,,,,,,,,1:14
Goblin,0.25,Monster,Small,Humanoid,Goblinoid,,NE,,,15,7,2,6,,30,,,,,8,14,10,10,8,8,166,,,58,,,,30,318,,,,"1:15, 12:25, 13:28",,,,,
Goblin Boss,1,Monster,Small,Humanoid,Goblinoid,,NE,,,17,21,6,6,,30,,,,,10,14,10,10,8,10,166,,,,,,,,,,,,,,,,,
Gold Dragon Wyrmling,3,Monster,Medium,Dragon,,,LG,,,17,60,8,8,24,30,,,60,30,19,14,17,14,11,16,115,,,,,,,,303,,,,,,,,,
Gorgon,5,Monster,Large,Monstrosity,,,U,,,19,114,12,10,48,40,,,,,20,11,18,2,12,7,171,,,,,,,,320,,16,,,,,,,
Goristro,17,Monster,Huge,Fiend,Demon,,CE,,,19,310,23,12,161,40,,,,,25,11,25,6,13,14,59,,,,,,,,,,,,,,,,,
Gray Ooze,0.5,Monster,Medium,Ooze,,,U,,,8,22,3,8,9,10,,10,,,12,6,16,1,6,2,243,,,,,,,,341,11,,,5:20,,,7:22,,
Gray Slaad,9,Monster,Medium,Aberration,Slaad,1,CN,,,18,127,17,8,51,30,,,,,17,17,16,13,8,14,277,,,,,,,,,,,,,,,,,
Green Dragon Wyrmling,2,Monster,Medium,Dragon,,,LE,,,17,38,7,8,7,30,,,60,30,15,12,13,14,11,13,95,,,,,,,,289,,,,,,,,,
Green Hag,3,Monster,Medium,Fey,Hag,,NE,,,17,82,11,8,33,30,,,,,18,12,16,13,14,14,177,,,,,,,,322,,,,"8:25, 12:25",,,,,
Green Hag (in coven),5,Monster,Medium,Fey,Hag,,NE,,,17,82,11,8,33,30,,,,,18,12,16,13,14,14,177,,,,,,,,,,,,,,,,,
Green Slaad,8,Monster,Large,Aberration,Slaad,1,CN,,,16,127,15,10,45,30,,,,,18,15,16,11,8,12,277,,,,,,,,,,,,,,,,,
Grell,3,Monster,Medium,Aberration,,,NE,,,12,55,10,8,10,10,,,30,,15,14,13,12,11,9,172,,,,,,,,,,,,,18,,,,
Grick,2,Monster,Medium,Monstrosity,,,N,,,14,27,6,8,,30,,30,,,14,14,11,3,14,5,173,,,58,,,,30,321,,,,1:31,,,,,
Grick Alpha,7,Monster,Large,Monstrosity,,,N,,,18,75,10,10,20,30,,30,,,18,16,15,4,14,9,173,,,,,,,,,,,,,,,,,
Griffon,2,Monster,Large,Monstrosity,,,U,,,12,59,7,10,21,30,,,80,,18,15,16,2,13,8,174,,,,,,,31,321,11,,,,,,6:34,,
Grimlock,0.25,Monster,Medium,Humanoid,Grimlock,,NE,,,11,11,2,8,2,30,,,,,16,12,12,9,8,6,175,,,,,,,,321,,,,,,,,,
"Grimshackle Brothers, Halfling Bandits",0.125,NPC,Medium,Humanoid,Halfling,,NE,,,12,9,2,8,,25,,,,,9,13,10,11,10,11,,,,,,,,,,,,,9:27,,,,,
Guard,0.125,NPC,Medium,Humanoid,Any,,Any,,,16,11,2,8,2,30,,,,,13,12,12,10,11,10,347,,,,,,,54,394,11,16,,"1:10/31, 2:24, 3:30, 6:27, 9:27, 11:38",,,"1:12, 2:21, 5:24, 6:34, 8:20, 10:26",,"1:22, 2:28, 5:23"
Guard Drake,2,Monster,Medium,Dragon,,,U,,,14,52,7,8,21,30,,,,,16,11,16,4,10,7,,,,,91,90,,,,,,37,"10:33, 13:26",,,,,
Guardian Naga,10,Monster,Large,Monstrosity,Naga,,LG,11,C,18,127,15,10,45,40,,,,,19,18,16,16,19,18,234,,,,,,,,338,,,,,,,,,
Guild Mage,1,NPC,Medium,Humanoid,Any,,LN,4,W,11,22,5,8,,30,,,,,9,14,11,17,12,11,,,,,,,,,,,,,,,,,,5:25
Gynosphinx,11,Monster,Large,Monstrosity,,,LN,9,W,17,136,16,10,48,40,,,60,,18,15,16,18,18,18,282,,,,,,,,351,,,,,,,,,
Half-Dragon Ettin,4,Monster,Large,Giant,,,CE,,,12,85,10,10,30,40,,,,,21,8,17,6,10,8,,,,,,,,,,,,,10:33,,,,,
Half-Dragon Troll,5,Monster,Large,Giant,,,CE,,,15,84,8,10,40,30,,,,,18,13,20,7,9,7,,,,,,,,,,,,,12:26,,,,,
Half-Ogre,1,Monster,Large,Giant,,,*C,,,12,30,4,10,8,30,,,,,17,10,14,7,9,10,238,,,,,,,,,,,,,19,,,,
Half-Red Dragon Veteran,5,Monster,Medium,Humanoid,Human,,Any,,,18,65,10,8,20,30,,,,,16,13,14,10,11,10,180,,,,,,,,324,,16,,,,,,,
Harpy,1,Monster,Medium,Monstrosity,,,CE,,,11,38,7,8,7,20,,,40,,12,13,12,7,10,13,181,,,,,,,31,324,,,,,,,,,
Hawk,0,Creature,Tiny,Beast,,,U,,,13,1,1,4,-1,10,,,60,,5,16,8,2,14,6,330,306,,,,,,31,377,,,,,,,,,
Hell Hound,3,Monster,Medium,Fiend,,,LE,,,15,45,7,8,14,50,,,,,17,12,14,6,13,6,182,,,,,,,32,324,,,,13:27,,,,,4:49
Hellenrae,5,NPC,Medium,Humanoid,Human,,LE,,,16,78,12,8,24,50,,,,,13,18,14,10,15,13,,,,,,,198,,,,,,,,,,,
Helmed Horror,4,Monster,Medium,Construct,,,N,,,20,60,8,8,24,30,,,30,,18,13,16,10,10,10,183,,,,,,,,,11,17,,11:38,19,,13:33,,
Hezrou,8,Monster,Large,Fiend,Demon,,CE,,,16,136,13,10,65,30,,,,,19,17,20,5,12,13,60,,,,,,,,274,,,,,19,,,,"3:30, 4:43, 9:30"
Hill Giant,5,Monster,Huge,Giant,,,CE,,,13,105,10,12,40,40,,,,,21,8,19,5,9,6,155,,,,,,,32,316,,,,,,,,,7:28
Hippogriff,1,Monster,Large,Monstrosity,,,U,,,11,19,3,10,3,40,,,60,,17,13,13,2,12,8,184,,,,,,,32,325,,,,,,,1:12,,
Hobgoblin,0.5,Monster,Medium,Humanoid,Goblinoid,,LE,,,18,11,2,8,2,30,,,,,13,12,12,10,10,9,186,,,59,,,,32,325,12,,,,,,,,
Hobgoblin Captain,3,Monster,Medium,Humanoid,Goblinoid,,LE,,,17,39,6,8,12,30,,,,,15,14,14,12,10,13,186,,,,,,,,,12,,,10:34,20,,,,
Hobgoblin Warlord,6,Monster,Medium,Humanoid,Goblinoid,,LE,,,20,97,13,8,39,30,,,,,16,14,16,14,11,15,187,,,,,,,,,,,,,,,,,
Homunculus,0,Monster,Tiny,Construct,,,N,,,13,5,2,4,,20,,,40,,4,15,11,10,10,7,188,,,,,,,,325,,,,,,,,,
Hook Horror,3,Monster,Large,Monstrosity,,,N,,,15,75,10,10,20,30,,30,,,18,10,15,6,12,7,189,,,,,,,,,,,,,20,,,,
Hook Horror Spore Servant,3,Monster,Medium,Plant,Myconid,,U,,,15,75,10,10,10,20,,20,,,18,10,15,2,6,1,,,,,,,,,,,,,,,,,62,
Horned Devil,11,Monster,Large,Fiend,Devil,,LE,,,18,178,17,10,55,20,,,60,,22,17,21,12,16,17,74,,,,,,,,279,,,,,,,,,
Howling Hatred Initiate,0.125,NPC,Medium,Humanoid,Human,,NE,,,13,9,2,8,,30,,,,,10,15,10,10,9,11,,,,,,,190,,,,,,,,50,"9:58, 13:32",,
Howling Hatred Priest,2,NPC,Medium,Humanoid,Human,,NE,5,S,15,45,10,8,,30,,,,,12,16,10,14,10,14,,,,,,,190,,,,,,,,,13:32,,
Hunter Shark,2,Creature,Large,Beast,,,U,,,12,45,6,10,12,0,,,,40,18,13,15,1,10,4,330,,,,,,,33,377,,,,,,,,,
Hurricane,2,NPC,Medium,Humanoid,Human,,LE,3,S,14,33,6,8,6,45,,,,,12,16,13,10,12,10,,,,,,,191,,,,,,,,50,"6:36, 9:58, 13:32",,
Hydra,8,Monster,Huge,Monstrosity,,,U,,,15,172,15,12,75,30,,,,30,20,12,20,2,10,7,190,,,,,,,33,326,,,,,,,3:27,,
Hyena,0,Creature,Medium,Beast,,,U,,,11,5,1,8,1,50,,,,,11,13,12,2,12,5,331,,,,,,,33,377,,,,,,,,,
Ice Devil,14,Monster,Large,Fiend,Devil,,LE,,,18,180,19,10,76,40,,,,,21,14,18,18,15,18,75,,,,,,,,280,,,,,,,,,
Ice Mephit,0.5,Monster,Small,Elemental,Mephit,,NE,,,11,21,6,6,,30,,,30,,7,13,10,9,11,12,215,,,,,,,,334,,,,,20,,9:52,,
Ice Toad,1,Monster,Medium,Monstrosity,,,N,,,12,32,5,8,10,30,,,,30,13,10,14,8,10,6,,,,,,90,,,,,,,,,,,,
Imix,19,Monster,Huge,Elemental,,,NE,,,17,325,26,12,156,50,,,50,,19,24,22,15,16,23,,,,,,,214,,,,,,,,,,,
Imp,1,Monster,Tiny,Fiend,Devil,1,LE,,,13,10,3,4,3,20,,,40,,6,17,13,11,12,14,76,306,,,,,,,280,,,,8:26,,,,,
Intellect Devourer,2,Monster,Tiny,Aberration,,,LE,,,12,21,6,4,6,40,,,,,6,14,13,12,11,10,191,,,,,,,,,,,,,,,7:22,,
Invisible Stalker,6,Monster,Medium,Elemental,,,N,,,14,104,16,8,32,50,,,50,,16,19,14,10,15,11,192,,,,,,,,326,,,,,21,,"9:55, 13:35",,
Iron Golem,16,Monster,Large,Construct,Golem,,U,,,20,210,20,10,100,30,,,,,24,9,20,3,11,1,170,,,,,,,,319,,,,,,,,,
Ixitxachitl,0.25,Monster,Small,Aberration,,,CE,,,15,18,4,6,4,0,,,,30,12,16,13,12,13,7,,,,,,,,,,,,,,,,,60,
Ixitxachitl Cleric,0.25,Monster,Small,Aberration,,,CE,5,C,15,18,4,6,4,0,,,,30,12,16,13,12,13,7,,,,,,,,,,,,,,,,,61,
Jackal,0,Creature,Small,Beast,,,U,,,12,3,1,6,,40,,,,,8,15,11,3,12,6,331,,,,,,,33,377,,,,,,,,,1:29
Jackalwere,0.5,Monster,Medium,Humanoid,,1,CE,,,12,18,4,8,,40,,,,,11,15,11,13,11,10,193,,,,,,,,,,,,,21,,,,1:29
Jamna Gleamsilver,1,NPC,Small,Humanoid,Gnome,,N,4,W,15,22,4,6,8,25,,,,,8,17,14,15,10,12,,,,,91,,,,,,,,,,,,,
"Jeralla, Sorcerer",2,NPC,Medium,Humanoid,Dragonborn,,CE,5,S,10,21,5,6,5,30,,,,,14,10,12,11,13,16,,,,,,,,,,,,,9:27,,,,,
Karsev the Drowner,2,NPC,Medium,Humanoid,Half-Elf,,CN,4,C,18,33,6,8,6,30,,,,,14,10,12,10,13,14,,,,,,,,,,,,,,,,12:20,,
Kenku,0.25,Monster,Medium,Humanoid,Kenku,,CN,,,13,13,3,8,,30,,,,,10,16,10,11,10,10,194,,,,,,,,,,,,,21,,"10:28, 13:33",,
Killer Whale,3,Creature,Huge,Beast,,,U,,,12,90,12,12,12,0,,,,60,19,10,13,3,12,7,331,,,,,,,34,378,,,,,,,,,
Knight,3,NPC,Medium,Humanoid,Any,,Any,,,18,52,8,8,16,30,,,,,16,11,14,11,11,15,347,,,,,,,54,395,12,17,,"4:22, 9:30, 14:21",,,9:57,,2:28
Kobold,0.125,Monster,Small,Humanoid,Kobold,,LE,,,12,5,2,6,-2,30,,,,,7,15,9,8,7,8,195,,,,,,,34,326,13,18,,"3:30, 4:22, 5:20, 9:28, 10:35, 11:39, 12:26",,,,,
Kraken,23,Monster,Gargantuan,Monstrosity,Titan,,CE,,,18,472,27,20,189,20,,,60,,30,11,25,22,18,20,197,,,,,,,,327,,,,,,,,,
Kuo-toa,0.25,Monster,Medium,Humanoid,Kuo-toa,,NE,,,13,18,4,8,,30,,,,30,13,10,11,11,10,8,199,,,,,,,,,,,,,22,,,,"8:25, 9:28"
Kuo-toa Archpriest,6,Monster,Medium,Humanoid,Kuo-toa,,NE,10,C,13,97,13,8,39,30,,,,30,16,14,16,13,16,14,200,,,,,,,,,,,,,22,,,,"3:25, 8:26, 9:29"
Kuo-toa Monitor,3,Monster,Medium,Humanoid,Kuo-toa,,NE,,,13,65,10,8,20,30,,,,30,14,10,14,12,14,11,198,,,,,,,,,,,,,23,,,,"3:26, 8:26, 9:29"
Kuo-toa Whip,1,Monster,Medium,Humanoid,Kuo-toa,,NE,2,C,11,65,10,8,20,30,,,,30,14,10,14,12,14,11,200,,,,,,,,,,,,,23,,,,"3:25, 8:25, 9:28"
Lacedon,1,Monster,Medium,Undead,,,CE,,,12,22,5,8,,30,,,,30,13,15,10,7,10,6,,,,,,,,,,,,,,,,"8:18, 12:19",,
Lamia,4,Monster,Large,Monstrosity,,,CE,,,13,97,13,10,26,30,,,,,16,13,15,14,15,16,201,,,,,,,,328,,,,,,,,,
Langdedrosa Cyanwrath,4,NPC,Medium,Humanoid,Half-Dragon,,LE,,,17,57,6,12,18,30,,,,,19,13,16,10,14,12,,,,,91,,,,,,,37,10:32,,,,,
Larva,0,Monster,Medium,Fiend,,,NE,,,9,9,2,8,,20,,,,,9,9,10,6,10,2,,,63,,,,,,,,,,,,,,,
Lemure,0,Monster,Medium,Fiend,Devil,,LE,,,7,13,3,8,,15,,,,,10,5,11,1,11,3,76,,,,,,,,281,,,,3:30,,,,,
Lich,21,Monster,Medium,Undead,,,*E,18,W,17,135,18,8,54,30,,,,,11,16,16,20,14,16,202,,,,,,,,328,,,,,23,,,,
Lich (in lair),22,Monster,Medium,Undead,,,*E,18,W,17,135,18,8,54,30,,,,,11,16,16,20,14,16,202,,,,,,,,,,,,,,,,,
Lion,1,Creature,Large,Beast,,,U,,,12,26,4,10,4,50,,,,,17,15,13,3,12,8,331,307,,,,,,34,378,,,,,,,4:26,,1:14
